Marque,Modèle,Année,Type de carburant,Puissance fiscale,Nombre de portes,Première main,État,Boîte à vitesses,Origine,Prix,average_km,Âge
Peugeot,405,1998.0,Diesel,7.0,5.0,Oui,Excellent,Manuelle,Dédouanée,30000.0,224999.5,27.0
Mercedes-Benz,Classe C,2015.0,Diesel,7.0,5.0,Non,Très bon,Automatique,Importée neuve,255000.0,154999.5,10.0
BMW,Série 2,2021.0,Diesel,6.0,5.0,Oui,Excellent,Automatique,WW au Maroc,305000.0,37499.5,4.0
Mercedes-Benz,220,2001.0,Diesel,9.0,5.0,Non,Excellent,Automatique,Dédouanée,67000.0,274999.5,24.0
Dacia,Dokker,2018.0,Diesel,8.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,105000.0,144999.5,7.0
Dacia,Dokker,2020.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,130000.0,164999.5,5.0
Peugeot,3008,2022.0,Diesel,8.0,5.0,Oui,Excellent,Automatique,WW au Maroc,268000.0,97499.5,3.0
Renault,Kangoo,2018.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,115000.0,134999.5,7.0
Renault,R5,1985.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,22000.0,224999.5,40.0
Dacia,Sandero,2012.0,Essence,5.0,5.0,Non,Très bon,Manuelle,WW au Maroc,69000.0,57499.5,13.0
Jaguar,XJ,1998.0,Essence,19.0,5.0,Oui,Bon,Automatique,WW au Maroc,85000.0,224999.5,27.0
Peugeot,3008,2020.0,Diesel,8.0,5.0,Non,Excellent,Automatique,WW au Maroc,245000.0,114999.5,5.0
Peugeot,2008,2020.0,Diesel,6.0,5.0,Oui,Très bon,Automatique,WW au Maroc,225000.0,47499.5,5.0
Mercedes-Benz,250,2013.0,Diesel,9.0,5.0,Non,Très bon,Automatique,Dédouanée,185000.0,274999.5,12.0
Peugeot,308,2008.0,Essence,8.0,5.0,Non,Excellent,Manuelle,WW au Maroc,61000.0,104999.5,17.0
MG,HS Phev,2012.0,Essence,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,52000.0,174999.5,13.0
Audi,A3,2019.0,Diesel,8.0,5.0,Non,Excellent,Automatique,WW au Maroc,240000.0,104999.5,6.0
Mercedes-Benz,220,2011.0,Diesel,11.0,5.0,Non,Très bon,Automatique,Dédouanée,195000.0,194999.5,14.0
Volkswagen,Touareg,2016.0,Diesel,12.0,3.0,Oui,Excellent,Automatique,WW au Maroc,163000.0,194999.5,9.0
BMW,X3,2020.0,Diesel,8.0,5.0,Non,Excellent,Automatique,WW au Maroc,325000.0,154999.5,5.0
Lancia,Delta,2015.0,Essence,8.0,5.0,Non,Très bon,Manuelle,WW au Maroc,75000.0,97499.5,10.0
Hyundai,Tucson,2021.0,Diesel,6.0,5.0,Non,Très bon,Automatique,WW au Maroc,262000.0,104999.5,4.0
Peugeot,308,2019.0,Diesel,7.0,5.0,Oui,Excellent,Manuelle,WW au Maroc,160000.0,2499.5,6.0
Volkswagen,Golf 5,2004.0,Diesel,8.0,5.0,Non,Excellent,Manuelle,Dédouanée,68000.0,37499.5,21.0
Renault,19,1996.0,Diesel,7.0,5.0,Oui,Bon,Manuelle,Dédouanée,28000.0,274999.5,29.0
Dacia,Dokker,2022.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,135000.0,134999.5,3.0
Volkswagen,Polo,2013.0,Essence,5.0,5.0,Non,Très bon,Manuelle,WW au Maroc,90000.0,164999.5,12.0
Mercedes-Benz,Classe ML,2011.0,Diesel,12.0,5.0,Non,Excellent,Automatique,WW au Maroc,125000.0,224999.5,14.0
Peugeot,206,2007.0,Essence,6.0,5.0,Non,Bon,Manuelle,WW au Maroc,47000.0,324999.5,18.0
Ford,Kuga,2011.0,Diesel,8.0,5.0,Non,Très bon,Manuelle,Dédouanée,120000.0,104999.5,14.0
Peugeot,Partner,2018.0,Diesel,7.0,5.0,Non,Excellent,Manuelle,WW au Maroc,138000.0,134999.5,7.0
Dacia,Sandero,2014.0,Diesel,6.0,5.0,Oui,Très bon,Manuelle,WW au Maroc,110000.0,17499.5,11.0
Nissan,Qashqai,2018.0,Diesel,6.0,5.0,Oui,Excellent,Automatique,WW au Maroc,218000.0,124999.5,7.0
Renault,Clio,2020.0,Hybride,9.0,5.0,Oui,Excellent,Automatique,Dédouanée,195000.0,134999.5,5.0
Peugeot,208,2021.0,Diesel,6.0,5.0,Oui,Très bon,Manuelle,WW au Maroc,148000.0,144999.5,4.0
Dacia,Lodgy,2021.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,135000.0,17499.5,4.0
Volkswagen,T-Roc,2021.0,Diesel,8.0,5.0,Oui,Excellent,Automatique,WW au Maroc,320000.0,62499.5,4.0
Fiat,Tipo,2019.0,Diesel,7.0,5.0,Non,Très bon,Manuelle,WW au Maroc,120000.0,7499.5,6.0
Citroen,Jumper,2019.0,Diesel,9.0,5.0,Oui,Très bon,Manuelle,WW au Maroc,185000.0,134999.5,6.0
Hyundai,Sonata,2021.0,Hybride,11.0,5.0,Non,Très bon,Automatique,WW au Maroc,279999.0,82499.5,4.0
Mitsubishi,L200,2013.0,Diesel,10.0,5.0,Non,Très bon,Manuelle,WW au Maroc,125000.0,27499.5,12.0
Peugeot,306,1999.0,Diesel,7.0,5.0,Non,Bon,Manuelle,Dédouanée,45000.0,22499.5,26.0
Citroen,Berlingo,2022.0,Diesel,6.0,5.0,Non,Excellent,Manuelle,WW au Maroc,186000.0,62499.5,3.0
Peugeot,208,2017.0,Diesel,6.0,5.0,Oui,Très bon,Manuelle,WW au Maroc,118999.0,134999.5,8.0
Ford,Focus,2012.0,Diesel,6.0,5.0,Non,Très bon,Manuelle,WW au Maroc,103000.0,224999.5,13.0
Renault,Clio,2002.0,Essence,6.0,5.0,Oui,Bon,Manuelle,WW au Maroc,44000.0,224999.5,23.0
