Marque,Modèle,Année,Type de carburant,Puissance fiscale,Kilométrage,Nombre de portes,Première main,État,Boîte à vitesses,Origine,Prix
Audi,A1,2019,Diesel,6 CV,85 000 - 89 999,5,Non,Très bon,Automatique,WW au Maroc,215 000 DH
Hyundai,Santa Fe,2021,Diesel,9 CV,80 000 - 84 999,5,Oui,Excellent,Automatique,WW au Maroc,
Volkswagen,Passat,2010,Essence,11 CV,120 000 - 129 999,5,Oui,Excellent,Automatique,WW au Maroc,
BMW,Série 7,2010,Essence,17 CV,190 000 - 199 999,5,Oui,Excellent,Automatique,WW au Maroc,
Renault,Clio,2014,Diesel,5 CV,20 000 - 24 999,5,,Très bon,Manuelle,Dédouanée,90 000 DH
Renault,Clio,2007,Diesel,6 CV,350 000 - 399 999,3,Oui,Bon,Manuelle,Dédouanée,
Volkswagen,T-Roc,2021,Diesel,8 CV,65 000 - 69 999,5,Oui,Excellent,Automatique,WW au Maroc,
Volkswagen,Polo,2024,Essence,6 CV,0 - 4 999,5,Oui,Neuf,Automatique,Dédouanée,259 000 DH
,,,,,,,,,,,
Opel,Corsa,2021,Diesel,6 CV,100 000 - 109 999,5,Non,Excellent,Manuelle,WW au Maroc,
Mercedes-Benz,Classe GLS,2021,Hybride,8 CV,80 000 - 84 999,5,Oui,Excellent,Automatique,Dédouanée,
Land Rover,Range Rover Evoque,2018,Diesel,8 CV,120 000 - 129 999,5,Non,Très bon,Automatique,WW au Maroc,305 000 DH
Fiat,Fiorino,2022,Diesel,5 CV,100 000 - 109 999,5,Oui,Très bon,Manuelle,WW au Maroc,110 000 DH
Opel,Astra,2016,Diesel,8 CV,170 000 - 179 999,5,Non,Excellent,Manuelle,WW au Maroc,117 000 DH
Citroen,Berlingo,2022,Diesel,6 CV,75 000 - 79 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Land Rover,Range Rover Velar,2017,Diesel,8 CV,180 000 - 189 999,5,Non,Excellent,Automatique,WW au Maroc,320 000 DH
Dacia,Dokker,2020,Diesel,6 CV,200 000 - 249 999,5,Non,Neuf,Manuelle,WW au Maroc,127 000 DH
Kia,Picanto,2008,Essence,6 CV,180 000 - 189 999,5,Non,Excellent,Manuelle,WW au Maroc,
Mercedes-Benz,Classe E,2025,Hybride,8 CV,0 - 4 999,5,Oui,Neuf,Automatique,Importée neuve,
Kia,Picanto,2009,Essence,7 CV,200 000 - 249 999,5,,Très bon,Manuelle,WW au Maroc,56 000 DH
Hyundai,Tucson,2017,Diesel,7 CV,170 000 - 179 999,5,Oui,Très bon,Manuelle,WW au Maroc,195 000 DH
Volkswagen,Golf 8,2022,Diesel,8 CV,65 000 - 69 999,5,Oui,Excellent,Automatique,WW au Maroc,
Peugeot,208,2016,Diesel,6 CV,130 000 - 139 999,5,Non,Excellent,Manuelle,WW au Maroc,95 000 DH
BMW,Série 1,2021,Diesel,8 CV,40 000 - 44 999,5,Oui,Excellent,Automatique,WW au Maroc,320 000 DH
Jeep,Wrangler,2014,Diesel,11 CV,95 000 - 99 999,3,Oui,Excellent,Manuelle,Dédouanée,235 000 DH
Peugeot,508,2020,Diesel,8 CV,95 000 - 99 999,5,Oui,Excellent,Automatique,WW au Maroc,238 000 DH
Mercedes-Benz,Classe C,2016,Diesel,9 CV,90 000 - 94 999,,,Très bon,Automatique,,265 000 DH
BMW,Série 5,2024,Diesel,8 CV,0 - 4 999,5,Oui,Neuf,Automatique,Importée neuve,
Volkswagen,Golf 7,2017,Diesel,8 CV,5 000 - 9 999,,,Excellent,Automatique,,
Volkswagen,Tiguan,2020,Diesel,8 CV,50 000 - 54 999,5,Oui,Excellent,Automatique,WW au Maroc,
Dacia,Logan,2025,Essence,6 CV,0 - 4 999,5,Oui,Neuf,Automatique,WW au Maroc,150 000 DH
Volkswagen,T-Roc,2024,Diesel,7 CV,15 000 - 19 999,5,Oui,Excellent,Automatique,WW au Maroc,350 000 DH
Renault,Laguna,1999,Essence,10 CV,Plus de 500 000,5,Non,Excellent,Manuelle,WW au Maroc,
Dacia,Logan,2020,Diesel,6 CV,100 000 - 109 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Hyundai,Tucson,2017,Diesel,6 CV,140 000 - 149 999,,,,Manuelle,WW au Maroc,
Renault,Kangoo,2006,Diesel,7 CV,200 000 - 249 999,5,Non,Très bon,Manuelle,WW au Maroc,74 000 DH
Renault,Kangoo,2015,Diesel,6 CV,200 000 - 249 999,5,Non,Excellent,Manuelle,,113 000 DH
Citroen,C4,2017,Diesel,6 CV,20 000 - 24 999,5,Non,Excellent,Automatique,Dédouanée,
Volkswagen,Tiguan,2017,Diesel,8 CV,170 000 - 179 999,5,Non,Excellent,Automatique,Dédouanée,310 000 DH
Ford,Ka,1997,Essence,7 CV,10 000 - 14 999,3,Non,Très bon,Manuelle,Pas encore dédouanée,25 000 DH
Renault,Clio,2022,Diesel,6 CV,5 000 - 9 999,5,Non,Neuf,Manuelle,WW au Maroc,150 000 DH
Mercedes-Benz,Sprinter,2018,Diesel,9 CV,250 000 - 299 999,,,Bon,Manuelle,WW au Maroc,
Audi,Q8,2021,Diesel,12 CV,90 000 - 94 999,,,Excellent,Automatique,,850 000 DH
Mini,Mini Coupé,2002,Essence,9 CV,15 000 - 19 999,3,Non,,Manuelle,Dédouanée,40 000 DH
Abarth,595,2022,Essence,4 CV,25 000 - 29 999,3,Oui,Excellent,Automatique,WW au Maroc,240 000 DH
Volvo,XC90,2016,Diesel,11 CV,140 000 - 149 999,5,Oui,Bon,Automatique,WW au Maroc,289 000 DH
Peugeot,208,2020,Diesel,6 CV,130 000 - 139 999,5,Oui,Très bon,Manuelle,WW au Maroc,
Ford,Focus,2017,Diesel,6 CV,130 000 - 139 999,,,Excellent,Manuelle,,
Renault,Koleos,2018,Diesel,8 CV,120 000 - 129 999,5,Non,Très bon,Automatique,WW au Maroc,180 000 DH
Alfa Romeo,Giulietta,2020,Diesel,6 CV,130 000 - 139 999,5,,Excellent,Automatique,WW au Maroc,172 000 DH
Hyundai,Accent,2016,Diesel,6 CV,95 000 - 99 999,5,Oui,Excellent,Automatique,WW au Maroc,123 000 DH
Mercedes-Benz,Classe A,2015,Diesel,7 CV,85 000 - 89 999,5,Non,Excellent,Automatique,WW au Maroc,213 000 DH
Renault,Megane,2024,Diesel,6 CV,15 000 - 19 999,5,Oui,Excellent,Automatique,WW au Maroc,257 000 DH
Renault,Clio,2018,Diesel,6 CV,100 000 - 109 999,3,Non,Très bon,Manuelle,WW au Maroc,113 000 DH
Volkswagen,Touran,2008,Diesel,8 CV,300 000 - 349 999,5,Non,Excellent,Manuelle,Dédouanée,110 000 DH
Mitsubishi,Pajero Sport,2021,Diesel,10 CV,65 000 - 69 999,5,Oui,Neuf,Automatique,WW au Maroc,340 000 DH
Renault,Megane,2023,Diesel,6 CV,60 000 - 64 999,5,Oui,Neuf,Automatique,WW au Maroc,
Opel,Mokka,2025,Essence,7 CV,0 - 4 999,5,Oui,Excellent,Automatique,WW au Maroc,225 000 DH
Mercedes-Benz,Classe C,2023,Diesel,9 CV,30 000 - 34 999,5,Oui,Excellent,Automatique,WW au Maroc,
Nissan,Tiida,2009,Essence,9 CV,250 000 - 299 999,5,Non,Très bon,Manuelle,WW au Maroc,45 000 DH
Audi,A6,2016,Diesel,12 CV,130 000 - 139 999,5,Non,Très bon,Automatique,WW au Maroc,
Hyundai,ix35,2015,Diesel,7 CV,85 000 - 89 999,5,Non,Bon,Manuelle,WW au Maroc,150 500 DH
Peugeot,206,2008,Essence,6 CV,190 000 - 199 999,5,Non,Très bon,Manuelle,Dédouanée,50 000 DH
Dacia,Logan,2006,Diesel,6 CV,5 000 - 9 999,5,Non,Bon,Manuelle,WW au Maroc,600 000 DH
Renault,Kangoo,2008,Diesel,7 CV,300 000 - 349 999,3,Oui,Excellent,Manuelle,WW au Maroc,85 000 DH
Peugeot,206,2014,Essence,5 CV,120 000 - 129 999,5,Non,Très bon,Manuelle,,
Opel,Insignia,2018,Diesel,8 CV,150 000 - 159 999,5,Oui,Excellent,Automatique,WW au Maroc,167 000 DH
Hyundai,Tucson,2020,Diesel,6 CV,15 000 - 19 999,5,Oui,Excellent,Automatique,WW au Maroc,
Suzuki,Grand Vitara,2005,Diesel,8 CV,300 000 - 349 999,3,Non,Bon,Manuelle,,60 000 DH
Kia,Seltos,2022,Diesel,6 CV,75 000 - 79 999,5,Non,Excellent,Automatique,WW au Maroc,
Toyota,Corolla,2000,Essence,7 CV,200 000 - 249 999,,Non,Très bon,Manuelle,Dédouanée,32 000 DH
Peugeot,3008,2018,Diesel,8 CV,100 000 - 109 999,5,Oui,Très bon,Automatique,WW au Maroc,
Volkswagen,Tiguan,2022,Diesel,8 CV,70 000 - 74 999,5,Oui,Excellent,Automatique,Dédouanée,
Citroen,Xsara,2004,Diesel,7 CV,300 000 - 349 999,5,Non,Bon,Manuelle,,
Mercedes-Benz,Classe GLC,2025,Diesel,9 CV,0 - 4 999,5,Oui,Neuf,Automatique,Importée neuve,
Mercedes-Benz,Classe E,2022,Hybride,11 CV,40 000 - 44 999,5,Oui,Neuf,Automatique,WW au Maroc,587 000 DH
Renault,Clio,2025,Diesel,6 CV,0 - 4 999,5,Oui,Neuf,Automatique,Pas encore dédouanée,
Volkswagen,Touareg,2012,Diesel,11 CV,25 000 - 29 999,5,Non,Bon,Automatique,WW au Maroc,130 000 DH
Audi,A4,2020,Diesel,8 CV,100 000 - 109 999,5,,Excellent,Automatique,WW au Maroc,325 000 DH
Mercedes-Benz,Classe CLA,2018,Diesel,6 CV,40 000 - 44 999,5,Oui,Excellent,Automatique,WW au Maroc,259 000 DH
Volkswagen,Passat,2001,Diesel,8 CV,200 000 - 249 999,5,Non,Très bon,Manuelle,Dédouanée,61 000 DH
DFSK,Super cab,2024,Essence,7 CV,5 000 - 9 999,,Oui,Excellent,Manuelle,WW au Maroc,
Peugeot,208,2022,Diesel,6 CV,65 000 - 69 999,5,Oui,Excellent,Manuelle,WW au Maroc,148 000 DH
Volkswagen,Touareg,2015,Diesel,12 CV,200 000 - 249 999,5,Non,Excellent,Automatique,Dédouanée,222 000 DH
Land Rover,Range Rover Vogue,2013,Diesel,18 CV,190 000 - 199 999,5,Oui,Très bon,Automatique,Importée neuve,
Chevrolet,Spark,2011,Essence,5 CV,100 000 - 109 999,5,,,Manuelle,,42 000 DH
Audi,R8,2009,Essence,24 CV,100 000 - 109 999,3,Oui,Excellent,Automatique,WW au Maroc,450 DH
Hyundai,Tucson,2022,Diesel,6 CV,55 000 - 59 999,5,Oui,Neuf,Automatique,WW au Maroc,
Renault,Clio,2024,Diesel,6 CV,10 000 - 14 999,,Oui,Excellent,Manuelle,WW au Maroc,173 000 DH
Suzuki,Alto,2008,Essence,5 CV,170 000 - 179 999,,,,Manuelle,,
Mercedes-Benz,Classe E,2013,Diesel,9 CV,200 000 - 249 999,5,Non,Très bon,Automatique,WW au Maroc,195 000 DH
Hyundai,Tucson,2018,Diesel,7 CV,180 000 - 189 999,5,Oui,Excellent,Automatique,WW au Maroc,215 000 DH
Renault,Clio,2020,Diesel,6 CV,110 000 - 119 999,5,Non,Excellent,Manuelle,WW au Maroc,118 000 DH
Volkswagen,Golf 6,2011,Diesel,8 CV,190 000 - 199 999,5,,Excellent,Manuelle,Dédouanée,135 000 DH
Mercedes-Benz,Classe ML,2006,Diesel,12 CV,250 000 - 299 999,5,Non,Très bon,Automatique,Dédouanée,75 000 DH
Dacia,Sandero,2021,Diesel,6 CV,110 000 - 119 999,5,Oui,Excellent,Manuelle,WW au Maroc,120 000 DH
Mercedes-Benz,Classe B,2016,Diesel,6 CV,85 000 - 89 999,5,Non,Très bon,Manuelle,,
Renault,Express,2022,Diesel,6 CV,80 000 - 84 999,3,Oui,Excellent,Manuelle,WW au Maroc,117 000 DH
Hyundai,H-1,2023,Diesel,10 CV,250 000 - 299 999,5,Oui,Excellent,Manuelle,WW au Maroc,120 000 DH
Renault,R5,1994,Essence,6 CV,140 000 - 149 999,5,Non,Correct,Manuelle,Dédouanée,21 999 DH
Peugeot,508,2019,Diesel,8 CV,130 000 - 139 999,,,,Automatique,,210 000 DH
Mercedes-Benz,220,2017,Diesel,7 CV,130 000 - 139 999,3,Oui,Excellent,Automatique,Dédouanée,330 000 DH
Opel,Crossland,2021,Diesel,6 CV,85 000 - 89 999,5,Non,Bon,Manuelle,WW au Maroc,151 450 DH
Peugeot,208,2019,Diesel,6 CV,100 000 - 109 999,5,Non,Excellent,Manuelle,WW au Maroc,115 000 DH
Volkswagen,Passat,2018,Diesel,8 CV,120 000 - 129 999,5,Non,Excellent,Automatique,WW au Maroc,183 000 DH
Dacia,Duster,2022,Diesel,6 CV,100 000 - 109 999,5,Oui,Excellent,Automatique,WW au Maroc,
Jaguar,XF,2016,Diesel,8 CV,95 000 - 99 999,5,Oui,Excellent,Automatique,WW au Maroc,210 000 DH
Mercedes-Benz,Classe GLC,2018,Diesel,9 CV,120 000 - 129 999,5,Oui,Très bon,Automatique,Dédouanée,
Volkswagen,Touareg,2017,Diesel,12 CV,180 000 - 189 999,5,Oui,Très bon,Automatique,WW au Maroc,
Citroen,C4,2007,Diesel,6 CV,300 000 - 349 999,5,Non,Très bon,Manuelle,WW au Maroc,65 000 DH
Volkswagen,Tiguan,2023,Diesel,Plus de 41 CV,35 000 - 39 999,5,Oui,Excellent,Automatique,WW au Maroc,382 500 DH
Mini,Cooper,2010,Essence,8 CV,140 000 - 149 999,3,Oui,Très bon,Manuelle,Dédouanée,92 000 DH
Volkswagen,Golf 8,2024,Diesel,8 CV,40 000 - 44 999,5,Oui,Excellent,Automatique,WW au Maroc,
Dacia,Logan,2017,Diesel,6 CV,170 000 - 179 999,5,Non,Très bon,Manuelle,WW au Maroc,110 000 DH
Kia,Sportage,2021,Diesel,6 CV,85 000 - 89 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Citroen,AX,1984,Diesel,7 CV,30 000 - 34 999,5,Non,Correct,Manuelle,Importée neuve,14 000 DH
Dacia,Logan,2022,Diesel,6 CV,0 - 4 999,5,Non,Excellent,Manuelle,,153 000 DH
Renault,Clio,2021,Diesel,6 CV,0 - 4 999,5,Oui,Très bon,Automatique,WW au Maroc,137 000 DH
Volkswagen,Tiguan,2021,Diesel,8 CV,140 000 - 149 999,,,Excellent,Automatique,Dédouanée,
Kia,Sorento,2005,Diesel,8 CV,15 000 - 19 999,5,Non,Bon,Manuelle,Pas encore dédouanée,45 000 DH
Renault,Clio,2020,Diesel,6 CV,90 000 - 94 999,5,Non,Excellent,Manuelle,WW au Maroc,
Renault,Grand Scenic,2007,Diesel,6 CV,250 000 - 299 999,5,Non,Correct,Manuelle,,73 000 DH
Volkswagen,Passat CC,2009,Diesel,8 CV,300 000 - 349 999,5,Non,Bon,Automatique,WW au Maroc,117 000 DH
BMW,Série 3,2020,Diesel,8 CV,140 000 - 149 999,5,Oui,Neuf,Automatique,WW au Maroc,
Renault,Express,2023,Diesel,6 CV,45 000 - 49 999,5,Non,Neuf,Manuelle,WW au Maroc,
Hyundai,i30,2019,Diesel,6 CV,0 - 4 999,5,Non,Très bon,Manuelle,WW au Maroc,150 000 DH
Mercedes-Benz,Classe C,2016,Diesel,9 CV,140 000 - 149 999,5,Oui,Très bon,Automatique,WW au Maroc,
Cupra,Formentor,2024,Diesel,8 CV,30 000 - 34 999,5,Oui,Neuf,Automatique,WW au Maroc,
Skoda,Octavia,2011,Diesel,8 CV,250 000 - 299 999,5,Non,Excellent,Automatique,WW au Maroc,
Ford,Ka,2009,Essence,7 CV,80 000 - 84 999,3,Oui,Très bon,Manuelle,WW au Maroc,68 000 DH
Jaguar,X-Type,2007,Diesel,8 CV,140 000 - 149 999,5,Non,Bon,Manuelle,WW au Maroc,59 000 DH
Volkswagen,Touran,2020,Diesel,6 CV,130 000 - 139 999,5,Non,Excellent,Automatique,Dédouanée,
Ford,Ranger,2006,Diesel,12 CV,300 000 - 349 999,5,Non,Très bon,Manuelle,WW au Maroc,75 000 DH
Volkswagen,Golf 4,2002,Diesel,8 CV,200 000 - 249 999,5,Non,Excellent,Manuelle,Dédouanée,
Mercedes-Benz,Classe GLC,2025,Hybride,11 CV,0 - 4 999,5,Oui,Neuf,Automatique,Importée neuve,
Isuzu,D-Max,2016,Diesel,10 CV,20 000 - 24 999,3,Non,Excellent,Manuelle,Dédouanée,
Volkswagen,Passat CC,2012,Diesel,8 CV,190 000 - 199 999,5,Non,Neuf,Automatique,WW au Maroc,138 000 DH
Mercedes-Benz,Classe GLC,2020,Diesel,9 CV,70 000 - 74 999,5,Oui,Excellent,Automatique,WW au Maroc,
Dacia,Duster,2019,Diesel,6 CV,160 000 - 169 999,5,Non,Excellent,Manuelle,WW au Maroc,
Mercedes-Benz,Classe GLC,2017,Essence,17 CV,90 000 - 94 999,5,Oui,Excellent,Automatique,Dédouanée,
Dacia,Logan,2019,Diesel,6 CV,160 000 - 169 999,5,Non,Bon,Manuelle,WW au Maroc,103 500 DH
Renault,Clio,2017,Diesel,6 CV,70 000 - 74 999,5,Non,Très bon,Manuelle,WW au Maroc,104 000 DH
BMW,Série 5,2008,Diesel,12 CV,250 000 - 299 999,5,Non,Bon,Automatique,WW au Maroc,70 000 DH
Ssangyong,Kyron,2010,Diesel,8 CV,25 000 - 29 999,,Oui,Excellent,Manuelle,WW au Maroc,
Hyundai,Getz,2004,Essence,6 CV,200 000 - 249 999,5,Non,Bon,Manuelle,,32 000 DH
Audi,Q5,2014,Diesel,12 CV,200 000 - 249 999,5,Non,Très bon,Automatique,Importée neuve,250 000 DH
Fiat,Fiorino,2021,Diesel,5 CV,20 000 - 24 999,5,Oui,Très bon,Manuelle,WW au Maroc,125 000 DH
Peugeot,Partner,2009,Diesel,7 CV,15 000 - 19 999,5,Oui,Très bon,Manuelle,Dédouanée,68 000 DH
Peugeot,308,2013,Diesel,6 CV,200 000 - 249 999,5,Non,Excellent,Manuelle,WW au Maroc,
Volkswagen,Tiguan,2013,Diesel,8 CV,5 000 - 9 999,5,Non,Neuf,Manuelle,Dédouanée,205 000 DH
Mitsubishi,L200,2024,Diesel,10 CV,15 000 - 19 999,3,Oui,Excellent,Manuelle,WW au Maroc,
BMW,X5,2019,Diesel,12 CV,35 000 - 39 999,5,Oui,Neuf,Automatique,WW au Maroc,700 000 DH
Peugeot,2008,2015,Diesel,6 CV,110 000 - 119 999,5,Oui,Excellent,Manuelle,WW au Maroc,128 999 DH
Volkswagen,Touareg,2012,Diesel,12 CV,300 000 - 349 999,5,Non,Très bon,Automatique,Importée neuve,130 000 DH
Peugeot,Partner,2004,Diesel,7 CV,120 000 - 129 999,5,Non,Bon,Manuelle,WW au Maroc,55 000 DH
Fiat,Panda,2018,Diesel,7 CV,10 000 - 14 999,,,Excellent,Manuelle,Dédouanée,
Hyundai,Tucson,2024,Hybride,9 CV,20 000 - 24 999,5,Non,Excellent,Automatique,WW au Maroc,
Renault,Clio,2023,Diesel,6 CV,50 000 - 54 999,5,,Excellent,Manuelle,WW au Maroc,162 000 DH
Land Rover,Range Rover Evoque,2020,Diesel,8 CV,50 000 - 54 999,5,Oui,Très bon,Automatique,WW au Maroc,360 000 DH
Peugeot,208,2023,Diesel,7 CV,60 000 - 64 999,5,Non,Excellent,Manuelle,Dédouanée,
Jeep,Grand Cherokee,2019,Diesel,8 CV,150 000 - 159 999,5,Oui,Excellent,Automatique,WW au Maroc,200 000 DH
Mercedes-Benz,Classe E,2021,Diesel,8 CV,25 000 - 29 999,5,Oui,Excellent,Automatique,Importée neuve,
Jaguar,XF,2012,Diesel,8 CV,150 000 - 159 999,5,Oui,Excellent,Automatique,WW au Maroc,135 000 DH
Ford,Fiesta,2018,Diesel,6 CV,60 000 - 64 999,5,Oui,Très bon,Manuelle,WW au Maroc,135 000 DH
Ford,Kuga,2021,Diesel,6 CV,15 000 - 19 999,5,Non,Très bon,Automatique,WW au Maroc,
Toyota,Verso,2007,Essence,8 CV,180 000 - 189 999,5,Oui,Excellent,Manuelle,WW au Maroc,80 000 DH
Mercedes-Benz,Classe C,2022,Diesel,8 CV,55 000 - 59 999,5,Oui,Excellent,Automatique,Importée neuve,
Audi,Q3,2019,Diesel,8 CV,55 000 - 59 999,5,Non,Neuf,Automatique,Importée neuve,
Peugeot,306,2003,Essence,6 CV,10 000 - 14 999,5,Non,Bon,Manuelle,WW au Maroc,60 000 DH
Peugeot,208,2020,Diesel,6 CV,50 000 - 54 999,5,Non,Excellent,Manuelle,WW au Maroc,150 000 DH
Chery,Tiggo,2023,Essence,8 CV,20 000 - 24 999,5,Oui,Bon,Automatique,WW au Maroc,165 000 DH
Audi,Q7,2022,Diesel,12 CV,50 000 - 54 999,5,Oui,Neuf,Automatique,WW au Maroc,
Renault,Kangoo,2014,Diesel,6 CV,250 000 - 299 999,5,Non,Très bon,Manuelle,WW au Maroc,106 000 DH
Renault,Express,2022,Diesel,6 CV,40 000 - 44 999,5,Oui,Excellent,Manuelle,WW au Maroc,145 000 DH
BMW,X5,2018,Diesel,8 CV,100 000 - 109 999,5,Oui,Excellent,Automatique,WW au Maroc,
Renault,Kangoo,2011,Diesel,6 CV,40 000 - 44 999,5,Non,Excellent,Manuelle,WW au Maroc,103 000 DH
Autres,Autres,2007,Essence,5 CV,10 000 - 14 999,5,Non,Très bon,Manuelle,WW au Maroc,24 000 DH
Toyota,C-HR,2021,Hybride,10 CV,50 000 - 54 999,5,Oui,Bon,Automatique,WW au Maroc,215 000 DH
Land Rover,Range Rover Sport,2019,Diesel,12 CV,150 000 - 159 999,5,Oui,Très bon,Automatique,WW au Maroc,400 000 DH
Mercedes-Benz,250,1991,Diesel,10 CV,170 000 - 179 999,5,Oui,Très bon,Automatique,Dédouanée,63 000 DH
Jaguar,XF,2018,Diesel,8 CV,130 000 - 139 999,5,Oui,Excellent,Automatique,WW au Maroc,250 000 DH
Dodge,Caliber,2009,Diesel,8 CV,300 000 - 349 999,5,Non,Très bon,Manuelle,WW au Maroc,67 000 DH
Renault,Express,2024,Diesel,6 CV,10 000 - 14 999,5,Oui,Excellent,Manuelle,WW au Maroc,186 000 DH
Opel,Mokka,2022,Diesel,6 CV,25 000 - 29 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Dacia,Logan,2022,Diesel,6 CV,110 000 - 119 999,5,Oui,Excellent,Manuelle,WW au Maroc,
Geely,COOLRAY,2024,Essence,9 CV,140 000 - 149 999,5,Oui,Bon,Automatique,WW au Maroc,236 000 DH
Fiat,Siena,2002,Diesel,7 CV,95 000 - 99 999,5,Non,Bon,Manuelle,WW au Maroc,33 000 DH
BMW,Série 5,2014,Diesel,8 CV,250 000 - 299 999,5,Non,Très bon,Automatique,WW au Maroc,
Citroen,C4,2016,Diesel,6 CV,140 000 - 149 999,5,Oui,Excellent,Automatique,Dédouanée,
Volkswagen,T-Roc,2022,Diesel,8 CV,80 000 - 84 999,5,Oui,Excellent,Automatique,WW au Maroc,
Citroen,C3,2011,Diesel,6 CV,160 000 - 169 999,5,Non,Bon,Manuelle,WW au Maroc,83 000 DH
Dacia,Logan,2021,Diesel,6 CV,140 000 - 149 999,5,Non,Très bon,Manuelle,WW au Maroc,124 000 DH
Opel,Insignia,2018,Diesel,8 CV,100 000 - 109 999,,,,Automatique,,209 000 DH
Volvo,XC60,2019,Diesel,8 CV,150 000 - 159 999,5,Non,Bon,Automatique,WW au Maroc,265 000 DH
Dacia,Logan,2014,Essence,7 CV,140 000 - 149 999,5,,Bon,Manuelle,,66 000 DH
Volkswagen,Coccinelle,2019,Diesel,6 CV,65 000 - 69 999,5,Oui,Excellent,Manuelle,WW au Maroc,
BMW,Série 4,2025,Diesel,8 CV,0 - 4 999,3,Oui,Neuf,Automatique,Importée neuve,
Peugeot,206,2002,Essence,6 CV,90 000 - 94 999,5,Non,Très bon,Manuelle,,
Tata,Xenon,2024,Diesel,9 CV,15 000 - 19 999,3,Oui,Excellent,Manuelle,WW au Maroc,170 000 DH
Kia,Picanto,2024,Essence,6 CV,25 000 - 29 999,5,Oui,Excellent,Manuelle,WW au Maroc,122 000 DH
Mercedes-Benz,Classe C,2012,Diesel,9 CV,200 000 - 249 999,3,Non,Excellent,Automatique,WW au Maroc,155 000 DH
Renault,Megane,2017,Diesel,6 CV,170 000 - 179 999,5,Non,Très bon,Manuelle,WW au Maroc,143 000 DH
Land Rover,Range Rover Sport,2022,Diesel,12 CV,90 000 - 94 999,5,,Excellent,Automatique,,700 000 DH
Volkswagen,Tiguan,2020,Diesel,8 CV,180 000 - 189 999,5,Non,Très bon,Automatique,WW au Maroc,305 000 DH
Suzuki,Carry,1993,Essence,6 CV,60 000 - 64 999,,,Très bon,Manuelle,Dédouanée,58 000 DH
Peugeot,206,2011,Essence,6 CV,25 000 - 29 999,5,Non,Très bon,Manuelle,WW au Maroc,52 000 DH
Mercedes-Benz,Classe GLE,2022,Hybride,8 CV,100 000 - 109 999,5,Oui,Excellent,Automatique,WW au Maroc,950 000 DH
Dacia,Logan,2022,Diesel,6 CV,130 000 - 139 999,5,Non,Excellent,Manuelle,WW au Maroc,126 000 DH
Dacia,Sandero,2020,Diesel,6 CV,70 000 - 74 999,5,Oui,Très bon,Manuelle,WW au Maroc,127 000 DH
Fiat,Palio,2002,Diesel,7 CV,300 000 - 349 999,5,Non,Excellent,Manuelle,WW au Maroc,
Renault,Kangoo,2010,Diesel,6 CV,200 000 - 249 999,5,Non,Excellent,Manuelle,Dédouanée,85 000 DH
Mercedes-Benz,190,1991,Diesel,8 CV,130 000 - 139 999,5,Non,Excellent,Manuelle,Dédouanée,57 000 DH
Renault,Clio,2016,Essence,7 CV,130 000 - 139 999,5,Non,Bon,Manuelle,WW au Maroc,83 000 DH
Kia,K5,2022,Hybride,11 CV,190 000 - 199 999,5,Non,Bon,Automatique,WW au Maroc,310 000 DH
Volkswagen,Jetta,2017,Diesel,8 CV,160 000 - 169 999,5,Oui,Excellent,Automatique,WW au Maroc,167 000 DH
Dacia,Sandero,2019,Diesel,6 CV,130 000 - 139 999,,,,Manuelle,,116 000 DH
Ford,Kuga,2020,Diesel,8 CV,120 000 - 129 999,,,Excellent,Automatique,WW au Maroc,209 000 DH
Hyundai,Tucson,2023,Diesel,7 CV,40 000 - 44 999,5,Non,Neuf,Automatique,WW au Maroc,
Peugeot,Bipper,2012,Diesel,6 CV,200 000 - 249 999,5,Non,Très bon,Manuelle,WW au Maroc,65 000 DH
Mercedes-Benz,Classe E,2024,Hybride,12 CV,0 - 4 999,5,Oui,Neuf,Automatique,Importée neuve,
Citroen,Berlingo,2021,Diesel,6 CV,85 000 - 89 999,5,Non,Excellent,Manuelle,WW au Maroc,197 000 DH
Porsche,Macan,2021,Essence,39 CV,95 000 - 99 999,5,Non,Très bon,Automatique,WW au Maroc,570 000 DH
Hyundai,ix35,2015,Diesel,7 CV,180 000 - 189 999,5,Non,Très bon,Manuelle,WW au Maroc,160 000 DH
Cadillac,Escalade,2010,Hybride,34 CV,200 000 - 249 999,5,Non,Excellent,Automatique,Dédouanée,370 000 DH
Land Rover,Range Rover Sport,2015,Diesel,9 CV,10 000 - 14 999,5,Non,Très bon,Automatique,WW au Maroc,350 000 DH
Ford,Kuga,2018,Diesel,6 CV,130 000 - 139 999,5,Oui,Excellent,Manuelle,WW au Maroc,198 000 DH
Peugeot,208,2021,Diesel,6 CV,110 000 - 119 999,5,Non,Excellent,Manuelle,WW au Maroc,149 000 DH
Citroen,C4,2011,Diesel,6 CV,Plus de 500 000,5,,Bon,Manuelle,WW au Maroc,100 000 DH
Audi,A3,2023,Essence,11 CV,20 000 - 24 999,3,Oui,Excellent,Automatique,Importée neuve,
Fiat,Palio,2005,Essence,7 CV,190 000 - 199 999,5,Non,Très bon,Manuelle,WW au Maroc,36 000 DH
